,Course Title,Course Code,R1 Points,R2 Points ,EOS Midpoints,Course Level,HEI
1416,Software Systems Development,WD151,165,,373,7,Waterford Institute of Technology
1417,Visual Art,WD152,243,,359,8,Waterford Institute of Technology
1418,Multimedia Applications Development,WD153,195,,356,7,Waterford Institute of Technology
1419,Information Technology,WD155,195,,379,7,Waterford Institute of Technology
1420,Business,WD159,191,,409,7,Waterford Institute of Technology
1421,Computer Forensics and Security,WD161,270,,347,8,Waterford Institute of Technology
1422,Quantity Surveying,WD162,226,,337,8,Waterford Institute of Technology
1423,Psychology,WD163,456,,487,8,Waterford Institute of Technology
1424,Food Science with Business,WD164,328,,453,7,Waterford Institute of Technology
1425,Culinary Arts,WD172,AQA,AQA,329,6,Waterford Institute of Technology
1426,Hospitality Studies,WD173,158,,320,6,Waterford Institute of Technology
1427,Tourism,WD174,AQA,,320,6,Waterford Institute of Technology
1428,Pharmaceutical Science,WD175,224,,409,7,Waterford Institute of Technology
1429,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,205,455,453,7,Waterford Institute of Technology
1430,Electrical Engineering,WD182,AQA,,363,7,Waterford Institute of Technology
1431,Retail Management,WD184,190,,337,7,Waterford Institute of Technology
1432,Sports Coaching and Performance,WD186,261,,358,8,Waterford Institute of Technology
1433,Social Science,WD187,276,,367,8,Waterford Institute of Technology
1434,Applied Health Care,WD188,220,,402,7,Waterford Institute of Technology
1435,Agricultural Science,WD191,377,,434,8,Waterford Institute of Technology
1436,Social Care Practice,WD192,271,,336,8,Waterford Institute of Technology
1437,Marketing and Digital Media,WD193,279,,358,8,Waterford Institute of Technology
1438,Culinary Arts,WD194,237,,321,8,Waterford Institute of Technology
1439,Architectural and Building Information Modelling Technology,WD195,279,,367,8,Waterford Institute of Technology
1440,Arts (options),WD200,201,201,376,8,Waterford Institute of Technology
1441,Molecular Biology with Biopharmaceutical Science,WD205,AQA,262,434,7,Waterford Institute of Technology
1442,Electronic Engineering,WD206,180,,367,7,Waterford Institute of Technology
1443,Mechanical Engineering,WD207,172,,356,7,Waterford Institute of Technology
1444,Manufacturing Engineering,WD208,317,,368,7,Waterford Institute of Technology
1445,Software Systems Development,WD210,260,,373,8,Waterford Institute of Technology
1446,Creative Computing,WD211,270,,392,8,Waterford Institute of Technology
1447,Recreation and Sport Management,WD212,262,,304,8,Waterford Institute of Technology
1448,Mechanical and Manufacturing Engineering,WD230,230,230,361,8,Waterford Institute of Technology
1449,Early Childhood Care and Education,WD231,266,,366,8,Waterford Institute of Technology
1450,Business Information Systems,WD232,261,261,329,8,Waterford Institute of Technology
